EmployeeID,Role,Department,hour_of_day,IsAfterHours,QueryType,RowsExamined,RowsReturned,ExecutionTime,QueryLength,IsSensitive,QueriesPerDay,RowsExaminedPerDay,DistinctTablesAccessedPerDay,SessionDurationMinutes
19,Finance_User,Finance,14,0,DELETE,43,96,1.6327157062915403,142,True,8,420,1,0.0
19,Finance_User,Finance,14,0,DELETE,17,48,1.9589864513127446,153,False,8,420,1,0.0
19,Finance_User,Finance,14,0,DELETE,53,69,1.2356138677155448,94,True,8,420,1,0.0
19,Finance_User,Finance,14,0,UPDATE,78,1,0.31905844494842206,175,False,8,420,1,0.0
19,Finance_User,Finance,14,0,UPDATE,72,31,1.0826056670814592,168,True,8,420,1,0.0
19,Finance_User,Finance,14,0,UPDATE,24,64,1.6169096251253317,99,False,8,420,1,0.0
16,Design_User,Design,14,0,DELETE,32,97,0.38200680805693044,44,True,4,194,1,0.0
16,Design_User,Design,14,0,DELETE,24,69,0.1738402296392147,39,True,4,194,1,0.0
16,Design_User,Design,14,0,UPDATE,57,44,0.8968852057896209,141,False,4,194,1,0.0
16,Design_User,Design,14,0,SELECT,81,75,1.3581609667462065,42,False,4,194,1,0.0
20,Design_User,Design,14,0,INSERT,83,96,0.69384716965191,80,False,6,218,1,0.0
20,Design_User,Design,14,0,SELECT,36,40,0.8992189886222652,146,False,6,218,1,0.0
20,Design_User,Design,14,0,UPDATE,49,13,0.453388323105955,126,False,6,218,1,0.0
20,Design_User,Design,14,0,DELETE,1,68,1.7077287697476,51,False,6,218,1,0.0
20,Design_User,Design,14,0,SELECT,25,78,0.46280928105515773,152,False,6,218,1,0.0
20,Design_User,Design,14,0,DELETE,24,94,0.46617337353928934,98,False,6,218,1,0.0
10,Design_super_user,Design,14,0,INSERT,28,93,1.57492356672637,168,False,6,331,1,0.0
10,Design_super_user,Design,14,0,SELECT,68,33,0.6993348936659383,112,False,6,331,1,0.0
10,Design_super_user,Design,14,0,INSERT,100,59,1.5326517822008103,192,False,6,331,1,0.0
10,Design_super_user,Design,14,0,INSERT,59,100,0.24945088849924313,93,False,6,331,1,0.0
10,Design_super_user,Design,14,0,DELETE,16,43,1.9309112025685737,77,False,6,331,1,0.0
10,Design_super_user,Design,14,0,UPDATE,60,55,1.8857262437555848,196,False,6,331,1,0.0
17,Finance_User,Finance,14,0,INSERT,33,72,0.9012569731403194,152,False,5,173,1,0.0
17,Finance_User,Finance,14,0,SELECT,31,85,0.7320420741518077,163,False,5,173,1,0.0
17,Finance_User,Finance,14,0,UPDATE,34,94,1.4345133325088202,172,False,5,173,1,0.0
17,Finance_User,Finance,14,0,UPDATE,58,2,1.569542223676392,119,True,5,173,1,0.0
17,Finance_User,Finance,14,0,INSERT,17,84,1.3589239326889635,30,False,5,173,1,0.0
18,Marketing_Admin,Marketing,14,0,INSERT,1,49,0.5415164852542091,180,False,8,518,1,0.0
18,Marketing_Admin,Marketing,15,0,UPDATE,69,7,0.29569337154213465,172,False,8,518,1,0.0
18,Marketing_Admin,Marketing,15,0,SELECT,88,73,0.19613030320348013,167,False,8,518,1,0.0
18,Marketing_Admin,Marketing,15,0,UPDATE,74,42,1.4601913230706525,133,False,8,518,1,0.0
18,Marketing_Admin,Marketing,15,0,DELETE,82,47,1.4923851749021666,124,False,8,518,1,0.0
18,Marketing_Admin,Marketing,15,0,INSERT,85,64,1.2782244611569709,65,False,8,518,1,0.0
18,Marketing_Admin,Marketing,15,0,DELETE,62,21,1.8509439236361065,54,False,8,518,1,0.0
18,Marketing_Admin,Marketing,15,0,SELECT,57,49,1.5177200024372033,152,False,8,518,1,0.0
6,Design_DBA,Design,15,0,UPDATE,49,31,1.6153892244702264,36,False,3,202,1,0.0
6,Design_DBA,Design,15,0,SELECT,80,44,0.870980183243142,55,False,3,202,1,0.0
6,Design_DBA,Design,15,0,INSERT,73,43,0.4626691205649811,158,False,3,202,1,0.0
12,Finance_super_user,Finance,15,0,SELECT,27,86,1.52135280154113,30,False,3,95,1,0.0
12,Finance_super_user,Finance,15,0,UPDATE,10,3,0.21216957926975094,192,False,3,95,1,0.0
12,Finance_super_user,Finance,15,0,INSERT,58,77,0.535254736172642,110,False,3,95,1,0.0
15,IT_Admin,IT,15,0,UPDATE,61,31,1.854373987536807,121,False,4,255,1,0.0
15,IT_Admin,IT,15,0,DELETE,85,11,1.6698177768358828,114,True,4,255,1,0.0
15,IT_Admin,IT,15,0,UPDATE,85,81,1.4067885061597774,118,False,4,255,1,0.0
15,IT_Admin,IT,15,0,DELETE,24,99,0.32562055883748287,79,False,4,255,1,0.0
2,Finance_super_user,Finance,15,0,DELETE,56,91,1.6268500338888074,92,False,3,174,1,0.0
2,Finance_super_user,Finance,15,0,INSERT,53,92,1.1079374976276595,77,False,3,174,1,0.0
2,Finance_super_user,Finance,15,0,UPDATE,65,44,1.6244926374144912,90,False,3,174,1,0.0
21,Finance_User,Finance,7,1,UPDATE,289,226,1.5719381732165307,208,False,1,289,1,0.0
21,Finance_User,Finance,10,0,DELETE,309,91,1.2503913205620445,379,True,1,309,1,0.0
21,Finance_User,Finance,9,0,SELECT,155,370,4.806818588091902,255,False,1,155,1,0.0
21,Finance_User,Finance,8,0,SELECT,400,230,2.3131607707874244,499,False,1,400,1,0.0
21,Finance_User,Finance,2,1,DELETE,170,83,1.498595974415878,298,True,1,170,1,0.0
21,Finance_User,Finance,16,0,DELETE,191,88,1.3833285299786868,380,True,1,191,1,0.0
22,,,2,1,SELECT,120000,95000,5.83,420,True,4,339000,4,150.0
22,,,2,1,SELECT,98000,87000,6.12,398,True,4,339000,4,150.0
22,,,3,1,UPDATE,45000,21000,7.45,510,True,4,339000,4,150.0
22,,,3,1,SELECT,76000,72000,4.98,360,False,4,339000,4,150.0
10,Design_super_user,Design,10,0,SELECT,33,47,0.244,150,False,6,213,1,0.0
10,Design_super_user,Design,10,0,SELECT,42,51,0.626,163,False,6,213,1,0.0
10,Design_super_user,Design,10,0,SELECT,37,17,0.361,163,False,6,213,1,0.0
10,Design_super_user,Design,10,0,SELECT,12,66,0.624,731,False,6,213,1,0.0
10,Design_super_user,Design,10,0,SELECT,78,21,0.832,156,False,6,213,1,0.0
10,Design_super_user,Design,10,0,SELECT,11,51,0.53,156,False,6,213,1,0.0
12,Finance_super_user,Finance,10,0,SELECT,12,44,0.163,135,False,12,196,1,0.0
12,Finance_super_user,Finance,10,0,SELECT,61,35,0.175,516,False,12,196,1,0.0
12,Finance_super_user,Finance,10,0,SELECT,12,124,0.256,150,False,12,196,1,0.0
12,Finance_super_user,Finance,10,0,SELECT,12,124,0.256,150,False,12,196,1,0.0
12,Finance_super_user,Finance,10,0,SELECT,12,124,0.256,150,False,12,196,1,0.0
12,Finance_super_user,Finance,10,0,SELECT,12,124,0.256,150,False,12,196,1,0.0
12,Finance_super_user,Finance,10,0,SELECT,12,124,0.256,150,False,12,196,1,0.0
12,Finance_super_user,Finance,10,0,SELECT,12,124,0.256,150,False,12,196,1,0.0
12,Finance_super_user,Finance,10,0,SELECT,12,124,0.256,150,False,12,196,1,0.0
12,Finance_super_user,Finance,10,0,SELECT,12,124,0.256,150,False,12,196,1,0.0
12,Finance_super_user,Finance,10,0,SELECT,12,124,0.256,150,False,12,196,1,0.0
12,Finance_super_user,Finance,10,0,DELETE,15,353,0.162,150,False,12,196,1,0.0
12,Finance_super_user,Finance,3,1,DELETE,15,353,0.162,150,False,14,1443,1,0.0
12,Finance_super_user,Finance,3,1,SELECT,264,63,0.641,150,False,14,1443,1,0.0
12,Finance_super_user,Finance,3,1,SELECT,12,124,0.256,150,False,14,1443,1,0.0
12,Finance_super_user,Finance,3,1,DELETE,15,353,0.162,150,False,14,1443,1,0.0
12,Finance_super_user,Finance,3,1,SELECT,264,63,0.641,150,False,14,1443,1,0.0
12,Finance_super_user,Finance,4,1,SELECT,12,124,0.256,150,False,14,1443,1,0.0
12,Finance_super_user,Finance,4,1,DELETE,15,353,0.162,150,False,14,1443,1,0.0
12,Finance_super_user,Finance,4,1,SELECT,264,63,0.641,150,False,14,1443,1,0.0
12,Finance_super_user,Finance,4,1,DELETE,12,124,0.256,150,False,14,1443,1,0.0
12,Finance_super_user,Finance,4,1,UPDATE,15,353,0.162,150,False,14,1443,1,0.0
12,Finance_super_user,Finance,4,1,UPDATE,264,63,0.641,150,False,14,1443,1,0.0
12,Finance_super_user,Finance,4,1,DELETE,12,124,0.256,150,False,14,1443,1,0.0
12,Finance_super_user,Finance,4,1,UPDATE,15,353,0.162,150,False,14,1443,1,0.0
12,Finance_super_user,Finance,4,1,UPDATE,264,63,0.641,150,False,14,1443,1,0.0
23,User,IT,7,1,SELECT,3722,142,5.216,1252,False,3,10926,1,0.0
23,User,IT,7,1,UPDATE,1422,2123,2.1521,1421,False,3,10926,1,0.0
23,User,IT,7,1,DELETE,5782,1423,6.7542,5300,False,3,10926,1,0.0
