QueryLogID,EmployeeID,QueryTime,QueryType,RowsExamined,RowsReturned,ExecutionTime,QueryLength,IsSensitive,SourceIP,Affected_table,Labels
587,4,2026-01-21 10:16:21.173,INSERT,33,65,1.7273597136462333,190,False,192.168.3.47,Finance,0
588,4,2026-01-21 10:16:21.173,DELETE,80,87,0.13097678887527764,27,False,192.168.3.47,Finance,0
589,4,2026-01-21 14:06:31.427,DELETE,12,2,0.9970303754802002,124,False,192.168.3.47,Finance,0
590,4,2026-01-21 14:06:31.427,SELECT,71,39,1.5180199921386732,131,False,192.168.3.47,Finance,0
591,3,2026-01-21 14:06:31.427,UPDATE,81,23,0.3979574580261652,80,True,192.168.1.161,Finance,0
592,3,2026-01-21 14:06:31.427,DELETE,35,80,1.516437475941544,200,True,192.168.1.161,Finance,0
593,3,2026-01-21 14:06:31.427,DELETE,60,56,1.1665098579078028,86,False,192.168.1.161,Finance,0
594,7,2026-01-21 14:06:31.427,SELECT,53,12,1.036572573080335,109,False,192.168.0.165,HR,0
595,7,2026-01-21 14:06:31.427,INSERT,25,8,0.46612219692862655,50,False,192.168.0.165,HR,0
596,7,2026-01-21 14:06:31.427,DELETE,28,70,1.2754831949904235,120,False,192.168.0.165,HR,0
597,7,2026-01-21 14:06:31.427,INSERT,51,74,0.5157695555680922,81,False,192.168.0.165,HR,0
598,7,2026-01-21 14:06:31.427,UPDATE,36,69,0.14327282516075418,79,False,192.168.0.165,HR,0
599,7,2026-01-21 14:06:31.427,DELETE,76,72,0.14072598402371017,179,True,192.168.0.165,HR,0
600,7,2026-01-21 14:06:31.427,SELECT,53,50,1.8018832304788006,77,False,192.168.0.165,HR,0
601,19,2026-01-21 14:06:31.427,DELETE,82,29,1.54535867087363,67,False,192.168.3.168,IT,0
602,19,2026-01-21 14:06:31.427,UPDATE,51,48,0.9854481489093673,113,False,192.168.3.168,IT,0
603,19,2026-01-21 14:06:31.427,DELETE,43,96,1.6327157062915403,142,True,192.168.3.168,IT,0
604,19,2026-01-21 14:06:31.427,DELETE,17,48,1.9589864513127446,153,False,192.168.3.168,IT,0
605,19,2026-01-21 14:06:31.427,DELETE,53,69,1.2356138677155448,94,True,192.168.3.168,IT,0
606,19,2026-01-21 14:06:31.427,UPDATE,78,1,0.31905844494842206,175,False,192.168.3.168,IT,0
607,19,2026-01-21 14:06:31.427,UPDATE,72,31,1.0826056670814592,168,True,192.168.3.168,IT,0
608,19,2026-01-21 14:06:31.427,UPDATE,24,64,1.6169096251253317,99,False,192.168.3.168,IT,0
609,16,2026-01-21 14:06:31.427,DELETE,32,97,0.38200680805693044,44,True,192.168.2.177,HR,0
610,16,2026-01-21 14:06:31.427,DELETE,24,69,0.1738402296392147,39,True,192.168.2.177,HR,0
611,16,2026-01-21 14:52:21.353,UPDATE,57,44,0.8968852057896209,141,False,192.168.2.177,HR,0
612,16,2026-01-21 14:52:21.353,SELECT,81,75,1.3581609667462065,42,False,192.168.2.177,HR,0
613,20,2026-01-21 14:52:21.353,INSERT,83,96,0.69384716965191,80,False,192.168.2.73,IT,0
614,20,2026-01-21 14:52:21.353,SELECT,36,40,0.8992189886222652,146,False,192.168.2.73,IT,0
615,20,2026-01-21 14:52:21.353,UPDATE,49,13,0.453388323105955,126,False,192.168.2.73,IT,0
616,20,2026-01-21 14:52:21.353,DELETE,1,68,1.7077287697476,51,False,192.168.2.73,IT,0
617,20,2026-01-21 14:52:21.353,SELECT,25,78,0.46280928105515773,152,False,192.168.2.73,IT,0
618,20,2026-01-21 14:52:21.353,DELETE,24,94,0.46617337353928934,98,False,192.168.2.73,IT,0
619,10,2026-01-21 14:52:21.353,INSERT,28,93,1.57492356672637,168,False,192.168.2.91,IT,0
620,10,2026-01-21 14:52:21.353,SELECT,68,33,0.6993348936659383,112,False,192.168.2.91,IT,0
621,10,2026-01-21 14:52:21.353,INSERT,100,59,1.5326517822008103,192,False,192.168.2.91,IT,0
622,10,2026-01-21 14:52:21.353,INSERT,59,100,0.24945088849924313,93,False,192.168.2.91,IT,0
623,10,2026-01-21 14:52:21.353,DELETE,16,43,1.9309112025685737,77,False,192.168.2.91,IT,0
624,10,2026-01-21 14:52:21.353,UPDATE,60,55,1.8857262437555848,196,False,192.168.2.91,IT,0
625,17,2026-01-21 14:52:21.353,INSERT,33,72,0.9012569731403194,152,False,192.168.2.18,IT,0
626,17,2026-01-21 14:52:21.353,SELECT,31,85,0.7320420741518077,163,False,192.168.2.18,IT,0
627,17,2026-01-21 14:52:21.353,UPDATE,34,94,1.4345133325088202,172,False,192.168.2.18,IT,0
628,17,2026-01-21 14:52:21.353,UPDATE,58,2,1.569542223676392,119,True,192.168.2.18,IT,0
629,17,2026-01-21 14:52:21.353,INSERT,17,84,1.3589239326889635,30,False,192.168.2.18,IT,0
630,18,2026-01-21 14:52:21.353,INSERT,1,49,0.5415164852542091,180,False,192.168.1.18,HR,0
631,18,2026-01-21 15:33:26.177,UPDATE,69,7,0.29569337154213465,172,False,192.168.1.18,HR,0
632,18,2026-01-21 15:33:26.177,SELECT,88,73,0.19613030320348013,167,False,192.168.1.18,HR,0
633,18,2026-01-21 15:33:26.177,UPDATE,74,42,1.4601913230706525,133,False,192.168.1.18,HR,0
634,18,2026-01-21 15:33:26.177,DELETE,82,47,1.4923851749021666,124,False,192.168.1.18,HR,0
635,18,2026-01-21 15:33:26.177,INSERT,85,64,1.2782244611569709,65,False,192.168.1.18,HR,0
636,18,2026-01-21 15:33:26.177,DELETE,62,21,1.8509439236361065,54,False,192.168.1.18,HR,0
637,18,2026-01-21 15:33:26.177,SELECT,57,49,1.5177200024372033,152,False,192.168.1.18,HR,0
638,6,2026-01-21 15:33:26.177,UPDATE,49,31,1.6153892244702264,36,False,192.168.3.30,IT,0
639,6,2026-01-21 15:33:26.177,SELECT,80,44,0.870980183243142,55,False,192.168.3.30,IT,0
640,6,2026-01-21 15:33:26.177,INSERT,73,43,0.4626691205649811,158,False,192.168.3.30,IT,0
641,12,2026-01-21 15:33:26.177,SELECT,27,86,1.52135280154113,30,False,192.168.1.147,Finance,0
642,12,2026-01-21 15:33:26.177,UPDATE,10,3,0.21216957926975094,192,False,192.168.1.147,Finance,0
643,12,2026-01-21 15:33:26.177,INSERT,58,77,0.535254736172642,110,False,192.168.1.147,Finance,0
644,15,2026-01-21 15:33:26.177,UPDATE,61,31,1.854373987536807,121,False,192.168.2.1,IT,0
645,15,2026-01-21 15:33:26.177,DELETE,85,11,1.6698177768358828,114,True,192.168.2.1,IT,0
646,15,2026-01-21 15:33:26.177,UPDATE,85,81,1.4067885061597774,118,False,192.168.2.1,IT,0
647,15,2026-01-21 15:33:26.177,DELETE,24,99,0.32562055883748287,79,False,192.168.2.1,IT,0
648,2,2026-01-21 15:33:26.177,DELETE,56,91,1.6268500338888074,92,False,192.168.0.152,HR,0
649,2,2026-01-21 15:33:26.177,INSERT,53,92,1.1079374976276595,77,False,192.168.0.152,HR,0
650,2,2026-01-21 15:33:26.177,UPDATE,65,44,1.6244926374144912,90,False,192.168.0.152,HR,0
651,21,2026-01-29 16:24:23.417,DELETE,191,88,1.3833285299786868,380,True,192.168.1.40,Suspicious,1
652,21,2026-01-24 07:50:23.417,UPDATE,289,226,1.5719381732165307,208,False,192.168.1.40,Suspicious,1
653,21,2026-01-27 08:43:23.417,SELECT,400,230,2.3131607707874244,499,False,192.168.1.40,Suspicious,1
654,21,2026-01-28 02:47:23.417,DELETE,170,83,1.498595974415878,298,True,192.168.1.40,Suspicious,1
655,21,2026-01-25 10:15:23.417,DELETE,309,91,1.2503913205620445,379,True,192.168.1.40,Suspicious,1
656,21,2026-01-26 09:46:23.417,SELECT,155,370,4.806818588091902,255,False,192.168.1.40,Suspicious,1
661,22,2026-01-31 02:20:10.000,SELECT,120000,95000,5.83,420,True,192.168.0.200,Finance,1
662,22,2026-01-31 02:35:42.000,SELECT,98000,87000,6.12,398,True,192.168.0.200,HR,1
663,22,2026-01-31 03:05:21.000,UPDATE,45000,21000,7.45,510,True,192.168.0.200,IT,1
664,22,2026-01-31 03:40:11.000,SELECT,76000,72000,4.98,360,False,192.168.0.200,Marketing,1
665,23,2026-01-04 22:00:00.000,SELECT,79,85,8.92041,1275,True,192.168.0.136,Finance,1
666,23,2026-01-04 22:00:00.000,SELECT,82,96,12.7411,1129,True,192.168.0.136,HR,1
667,23,2026-01-04 22:00:00.000,SELECT,91,47,8.1582,1129,True,192.168.0.136,IT,1
