AuthLogID,EmployeeID,LoginTime,LogoutTime,SourceIP,DeviceInfo,LoginStatus,FailureReason,Labels
531,24,2026-01-31 08:24:00.000,2026-01-31 09:37:00.000,192.168.3.30,Desktop,SUCCESS,,0
532,24,2026-01-19 09:15:00.000,2026-01-19 11:09:00.000,192.168.1.94,Smartphone,SUCCESS,,0
533,25,2026-01-12 15:42:00.000,2026-01-12 16:14:00.000,192.168.3.97,Laptop,SUCCESS,,0
534,25,2026-01-17 12:30:00.000,2026-01-17 14:13:00.000,192.168.0.155,Tablet,SUCCESS,,0
535,25,2026-01-05 09:47:00.000,2026-01-05 10:00:00.000,192.168.2.231,Laptop,SUCCESS,,0
536,26,2026-01-28 10:47:00.000,2026-01-28 12:10:00.000,192.168.0.155,Router,SUCCESS,,0
537,26,2026-01-16 16:03:00.000,2026-01-16 16:56:00.000,192.168.1.175,SmartTV,SUCCESS,,0
538,26,2026-01-28 15:06:00.000,2026-01-28 15:28:00.000,192.168.3.97,Router,SUCCESS,,0
539,26,2026-01-08 11:26:00.000,2026-01-08 13:19:00.000,192.168.0.136,Server,SUCCESS,,0
540,26,2026-01-23 11:26:00.000,2026-01-23 12:28:00.000,192.168.2.225,SmartTV,SUCCESS,,0
541,27,2026-01-07 17:20:00.000,2026-01-07 19:02:00.000,192.168.1.94,SmartTV,SUCCESS,,0
542,27,2026-02-02 08:19:00.000,2026-02-02 09:03:00.000,192.168.3.107,SmartTV,SUCCESS,,0
543,27,2026-01-05 14:35:00.000,2026-01-05 16:34:00.000,192.168.2.74,Server,SUCCESS,,0
544,27,2026-02-04 12:12:00.000,2026-02-04 12:48:00.000,192.168.1.98,Smartphone,SUCCESS,,0
545,27,2026-01-16 14:55:00.000,2026-01-16 15:34:00.000,192.168.2.225,Laptop,SUCCESS,,0
546,28,2026-01-06 20:56:00.000,2026-01-06 21:12:00.000,192.168.1.18,Smartphone,SUCCESS,,0
547,28,2026-01-18 22:24:00.000,2026-01-18 22:39:00.000,192.168.1.144,Server,SUCCESS,,0
548,29,2026-01-06 06:19:00.000,2026-01-06 08:15:00.000,192.168.1.225,Router,SUCCESS,,0
549,29,2026-02-01 19:28:00.000,2026-02-01 21:23:00.000,192.168.1.94,Server,SUCCESS,,0
550,29,2026-02-01 06:00:00.000,2026-02-01 06:11:00.000,192.168.2.175,Laptop,SUCCESS,,0
551,29,2026-01-07 20:03:00.000,2026-01-07 21:29:00.000,192.168.0.165,Smartphone,SUCCESS,,0
552,29,2024-06-02 01:23:51.123,2024-06-02 04:12:32.173,192.168.1.153,Router,SUCCESS,,1
553,30,2026-01-11 20:37:00.000,2026-01-11 21:44:00.000,192.168.0.165,SmartTV,FAIL,Logged in using VPN,1
554,30,2026-01-29 07:45:00.000,2026-01-29 08:49:00.000,192.168.1.94,Server,FAIL,Logged in using VPN,1
555,30,2026-02-01 22:12:00.000,2026-02-01 22:53:00.000,192.168.1.225,Desktop,FAIL,Logged in using a virtual machine,1
556,30,2026-01-29 05:15:00.000,2026-01-29 07:00:00.000,192.168.1.18,SmartTV,FAIL,Lost connection,0
557,31,2026-01-21 15:14:00.000,2026-01-21 17:05:00.000,192.168.0.222,Laptop,SUCCESS,,0
558,31,2026-01-19 17:46:00.000,2026-01-19 19:44:00.000,192.168.1.98,Router,SUCCESS,,0
559,31,2024-06-02 01:23:51.123,2024-06-02 04:12:32.173,192.168.2.18,SmartTV,SUCCESS,,1
560,31,2026-01-20 12:03:00.000,2026-01-20 13:24:00.000,192.168.3.230,Laptop,SUCCESS,,0
561,31,2026-01-21 13:42:00.000,2026-01-21 14:31:00.000,192.168.2.231,Desktop,SUCCESS,,0
562,32,2026-01-14 18:07:00.000,2026-01-14 18:28:00.000,192.168.1.225,Laptop,SUCCESS,,0
563,32,2026-01-26 05:47:00.000,2026-01-26 06:37:00.000,192.168.0.182,Tablet,FAIL,Over 3 times,0
564,32,2026-01-05 21:23:00.000,2026-01-05 22:49:00.000,192.168.3.168,Server,FAIL,Lost connection,1
565,32,2026-01-22 05:45:00.000,2026-01-22 07:45:00.000,192.168.2.73,Router,FAIL,Logged in using a virtual machine,1
566,33,2024-06-02 01:23:51.123,2024-06-02 04:12:32.173,192.168.0.73,Tablet,SUCCESS,,1
567,33,2026-01-15 15:24:00.000,2026-01-15 16:18:00.000,192.168.0.182,Desktop,SUCCESS,,0
568,34,2026-01-24 10:17:00.000,2026-01-24 10:52:00.000,192.168.3.230,Desktop,SUCCESS,,0
569,34,2026-01-16 09:58:00.000,2026-01-16 10:13:00.000,192.168.1.11,Server,SUCCESS,,0
570,34,2026-01-18 12:03:00.000,2026-01-18 13:05:00.000,192.168.3.97,Laptop,SUCCESS,,0
571,34,2026-01-08 14:34:00.000,2026-01-08 14:50:00.000,192.168.2.175,Server,SUCCESS,,0
572,34,2026-02-03 12:26:00.000,2026-02-03 14:14:00.000,192.168.0.136,Smartphone,SUCCESS,,0
573,35,2026-01-29 16:40:00.000,2026-01-29 17:07:00.000,192.168.1.95,Smartphone,SUCCESS,,0
574,35,2026-01-06 11:41:00.000,2026-01-06 12:02:00.000,192.168.0.73,Laptop,SUCCESS,,0
575,35,2026-01-12 17:35:00.000,2026-01-12 17:47:00.000,192.168.2.175,Router,SUCCESS,,0
576,35,2026-02-01 15:15:00.000,2026-02-01 16:58:00.000,192.168.0.73,Router,SUCCESS,,0
577,35,2026-01-26 09:32:00.000,2026-01-26 10:55:00.000,192.168.1.141,Router,SUCCESS,,0
578,36,2026-01-07 09:41:00.000,2026-01-07 10:38:00.000,192.168.0.152,Laptop,SUCCESS,,0
579,36,2024-06-02 01:23:51.123,2024-06-02 04:12:32.173,192.168.1.39,Desktop,FAIL,Logged in using VPN,1
580,36,2024-06-02 01:23:51.123,2024-06-02 04:12:32.173,192.168.1.18,Router,FAIL,Logged in using VPN,1
581,37,2026-02-04 14:24:00.000,2026-02-04 15:23:00.000,192.168.2.225,Desktop,SUCCESS,,0
582,37,2026-01-24 15:59:00.000,2026-01-24 17:11:00.000,192.168.1.18,SmartTV,SUCCESS,,0
583,37,2026-01-21 13:44:00.000,2026-01-21 14:36:00.000,192.168.1.28,Desktop,SUCCESS,,0
584,37,2026-02-04 13:18:00.000,2026-02-04 14:57:00.000,192.168.2.231,Server,SUCCESS,,0
585,37,2026-02-04 17:08:00.000,2026-02-04 18:10:00.000,192.168.2.73,Tablet,SUCCESS,,0
586,38,2026-01-17 07:03:00.000,2026-01-17 07:42:00.000,192.168.3.97,Router,SUCCESS,,0
587,38,2026-01-30 20:20:00.000,2026-01-30 21:29:00.000,192.168.1.39,Desktop,SUCCESS,,0
588,39,2026-02-01 15:47:00.000,2026-02-01 17:41:00.000,192.168.2.18,Desktop,SUCCESS,,0
589,39,2024-06-02 01:23:51.123,2024-06-02 04:12:32.173,192.168.1.45,Laptop,FAIL,Logged in using a virtual machine,1
590,39,2024-06-02 01:23:51.123,2024-06-02 04:12:32.173,192.168.1.45,Tablet,SUCCESS,,1
591,40,2024-06-02 01:23:51.123,2024-06-02 04:12:32.173,192.168.3.114,Server,SUCCESS,,1
592,40,2026-01-30 17:59:00.000,2026-01-30 18:57:00.000,192.168.1.94,SmartTV,SUCCESS,,0
593,41,2026-01-26 17:18:00.000,2026-01-26 18:04:00.000,192.168.1.161,Laptop,SUCCESS,,0
594,41,2026-01-09 12:06:00.000,2026-01-09 13:30:00.000,192.168.1.28,SmartTV,SUCCESS,,0
595,41,2024-06-02 01:23:51.123,2024-06-02 04:12:32.173,192.168.2.91,Desktop,SUCCESS,,1
596,41,2024-06-02 01:23:51.123,2024-06-02 04:12:32.173,192.168.3.107,Tablet,SUCCESS,,1
597,41,2026-01-05 16:14:00.000,2026-01-05 16:56:00.000,192.168.3.196,Smartphone,SUCCESS,,0
598,42,2026-01-19 19:04:00.000,2026-01-19 20:46:00.000,192.168.3.47,Server,SUCCESS,,0
599,42,2026-02-02 18:43:00.000,2026-02-02 20:22:00.000,192.168.2.122,Desktop,SUCCESS,,0
600,43,2026-01-24 20:00:00.000,2026-01-24 20:59:00.000,192.168.1.161,Server,FAIL,Logged in using a virtual machine,1
601,43,2026-01-07 05:20:00.000,2026-01-07 05:43:00.000,192.168.2.129,Server,FAIL,Lost connection,1
602,43,2026-01-20 22:15:00.000,2026-01-20 22:57:00.000,192.168.1.225,SmartTV,FAIL,Over 3 times,0
603,43,2026-01-19 07:15:00.000,2026-01-19 07:28:00.000,192.168.2.18,Laptop,FAIL,Logged in using a virtual machine,1
604,44,2026-01-21 09:54:00.000,2026-01-21 10:46:00.000,192.168.2.175,Smartphone,SUCCESS,,0
605,44,2026-01-25 08:31:00.000,2026-01-25 10:12:00.000,192.168.0.222,SmartTV,SUCCESS,,0
606,44,2026-01-06 13:27:00.000,2026-01-06 15:17:00.000,192.168.3.47,Router,SUCCESS,,0
